,Case Number,Type,Country,Gender,Fatality
3355,1966.05.16.a,Sea Disaster,PHILIPPINES,M,Y
3356,1966.04.08,Unprovoked,USA,M,N
3357,1966.04.00,Sea Disaster,AUSTRALIA,M,N
3358,1966.03.20,Provoked,AUSTRALIA,Unknown,N
3359,1966.03.12,Sea Disaster,SUDAN,M,Y
3360,1966.02.27,Unprovoked,AUSTRALIA,M,N
3361,1966.01.29,Provoked,SOUTH AFRICA,M,N
3362,1966.01.25,Sea Disaster,INDONESIA,Unknown,Y
3363,1966.01.22,Unprovoked,USA,M,N
3364,1966.01.15,Unprovoked,AUSTRALIA,M,N
3365,1966.01.14,Sea Disaster,COLUMBIA,Unknown,Y
3366,1966.01.11,Unprovoked,SOUTH AFRICA,M,N
3367,1966.01.10,Unprovoked,AUSTRALIA,M,N
3368,1966.01.09,Unprovoked,SOUTH AFRICA,M,N
3369,1966.01.08,Unprovoked,NEW ZEALAND,F,Y
3370,1966.01.05,Unprovoked,USA,M,N
3371,1966.00.00,Invalid,USA,F,N
3372,1965.12.28,Unprovoked,AUSTRALIA,M,N
3373,1965.12.19,Unprovoked,JOHNSTON ISLAND,M,N
3374,1965.12.10,Boat,AUSTRALIA,Unknown,N
3375,1965.11.21.b,Provoked,AUSTRALIA,M,Y
3376,1965.11.21.a,Unprovoked,PACIFIC OCEAN ,M,N
3377,1965.11.03.b,Invalid,PANAMA,Unknown,Y
3378,1965.11.03.a,Unprovoked,AUSTRALIA,M,N
3379,1965.10.21,Unprovoked,NAN,M,N
3380,1965.10.16.b,Unprovoked,BAHAMAS,M,N
3381,1965.10.16.a,Unprovoked,BAHAMAS,F,Y
3382,1965.10.10,Unprovoked,NEW BRITAIN,M,Y
3383,1965.10.00,Unprovoked,PAPUA NEW GUINEA,M,N
3384,1965.09.21,Provoked,PAPUA NEW GUINEA,M,N
3385,1965.09.12,Provoked,PAPUA NEW GUINEA,M,N
3386,1965.09.08,Unprovoked,MEXICO,M,N
3387,1965.08.30,Invalid,PHILIPPINES,M,Y
3388,1965.08.26,Unprovoked,USA,M,N
3389,1965.07.30,Provoked,BAHAMAS,M,N
3390,1965.07.26,Unprovoked,MEXICO,M,Y
3391,1965.07.02.R,Boat,BERMUDA,Unknown,N
3392,1965.06.19,Invalid,USA,M,N
3393,1965.06.18,Invalid,USA,M,N
3394,1965.06.09,Unprovoked,MEXICO,M,N
3395,1965.06.00.b,Unprovoked,PAPUA NEW GUINEA,M,N
3396,1965.06.00,Unprovoked,SOUTH PACIFIC OCEAN,M,Y
3397,1965.05.29,Unprovoked,MEXICO,M,Y
3398,1965.05.28,Unprovoked,MEXICO,M,Y
3399,1965.05.00.c,Unprovoked,EGYPT,M,N
3400,1965.05.00.b,Unprovoked,JAMAICA,M,N
3401,1965.05.00.a,Unprovoked,MEXICO,M,N
3402,1965.04.29,Unprovoked,USA,M,N
3403,1965.04.25,Invalid,USA,M,Y
3404,1965.04.10,Unprovoked,USA,M,N
3405,1965.04.04.b,Unprovoked,PALAU,M,N
3406,1965.04.04.a,Unprovoked,USA,M,N
3407,1965.03.23,Invalid,USA,M,N
3408,1965.03.14,Unprovoked,USA,M,N
3409,1965.02.14,Unprovoked,SOUTH AFRICA,M,N
3410,1965.02.04,Unprovoked,USA,M,N
3411,1965.01.25,Invalid,USA,M,Y
3412,1965.01.23,Unprovoked,SOUTH AFRICA,M,N
3413,1965.01.16,Unprovoked,SOUTH AFRICA,M,N
3414,1965.01.10,Unprovoked,AUSTRALIA,M,N
3415,1965.01.09,Unprovoked,NEW GUINEA,M,Y
3416,1965.00.00.g,Unprovoked,USA,M,N
3417,1965.00.00.f,Provoked,USA,M,N
3418,1965.00.00.e,Provoked,USA,M,N
3419,1965.00.00.d,Unprovoked,RED SEA,M,N
3420,1965.00.00.c,Unprovoked,EGYPT,M,N
3421,1965.00.00.b,Unprovoked,VANUATU,M,Y
3422,1965.00.00.a,Invalid,SOUTH AFRICA,Unknown,Unknown
3423,1964.12.25,Unprovoked,SOUTH AFRICA,M,N
